# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                          Russian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o1o Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Неизвестная ошибка!
Show time of join/leave + jid.	Показывает время входа/выхода + jid. Результат работы команды всегда направляется в приват.
Show time of join/leave + jid splitted by nicks.	Показывает время входа/выхода + jid с разбивкой по никам. Результат работы команды всегда направляется в приват.

# file: ../trunk/plugins/anek.py
Show random anecdote | Author: ferym	Показывает случайный анекдот с интернет ресурса | Автор: ferym

# file: ../trunk/plugins/answers.py
Export to file: %s | Total records: %s | Unique records: %s	Экспорт в файл: %s | Всего записей: %s | После удаления дубликатов: %s
Import from file: %s | Total records: %s	Импорт из файла: %s | Всего записей: %s
File %s not found!	Файл %s не доступен!
Import/Export answers base.\nanswers import [filename] - import from file\nanswers export [filename] - export to file	Импорт/Экспорт базы ответов в текстовый файл.\nanswers import [название файла] - импорт ответов из текстового файла в базу\nanswers export [название файла] - экспорт ответов из базы в текстовый файл'

# file: ../trunk/plugins/antitroll.py
You troll!	Ты троль!
Done	Готово
Repeat message to private.\ntroll nick\n[text]\n[number]	Повтор сообщения несколько раз в приват.\ntroll ник\n[текст]\n[количество]

# file: ../trunk/plugins/backup.py
Available copies:	Резервные копии:
Backup copies not found.	Резевные копии не найдены
I need an owner affiliation for backup settings!	Для резервного копирования мне необходимы права владельца конференции
Copying completed!\nOwners:\t%s\nAdmins:\t%s\nMembers:\t%s\nBanned:\t%s	Копирование завершено!\nВладельцев:\t%s\nАдминов:\t%s\nУчастников:\t%s\nБаня:\t%s
I need an owner affiliation for restore settings!	Для восстановления резервной копии мне нужны права владельца конференции!
Restore completed.	Восстановление завершено.
Copy not found. Use key "show" for lisen available copies.	Копия не найдена. Используйте ключ "show" для просмотра доступных копий.
What do you want to restore?	Что будем восстанавливать?
Backup/restore conference settings.\nbackup show|now|restore\nshow - show available copies\nnow - backup current conference\nrestore name_conference - restore settings name_conference in current conference	Резервное копирование/восстановление конференций.\nbackup show|now|restore\nshow - показать доступные копии\nnow - сохранить текущую конференцию\nrestore название_конференции - восстановить конференцию в текущей.

# file: ../trunk/plugins/bash.py
Quote not found!	Цитата не найдена!
Quote from bash.org.ru\nbash [number]	Цитата с bash.org.ru\nbash [номер]
Quote from ibash.org.ru\nibash [number]	Цитата с ibash.org.ru\nibash [номер]

# file: ../trunk/plugins/blacklist.py
Leave conference %s\n	Свалила из %s\n
Conference was added in blacklist	Конференция занесена в черный список
This conference already exist in blacklist.	Адрес уже содержится в списке.
You can't add last conference in blacklist.	Нельзя добавлять последнюю конференцию в черный список.
Add to blacklist: %s	Добавлено в черный список: %s
Removed from blacklist: %s	Удалено из черного списка: %s
Address not in blacklist.	Адрес отсутствует в черном списке.
List is empty.	Список пуст.
List of conferences:\n	Список конференций:\n
Cleared.	Очищено.
Manage of conferences blacklist.\nblacklist add|del|show|clear\nblacklist add|del room@conference.server.tld - add|remove address from blacklist\nblacklist show - show blacklist\nblacklist clear - clear blacklist	Черный список конференций.\nblacklist add|del|show|clear\nblacklist add|del room@conference.server.tld - добавить|удалить конферецию из черного списка\nblacklist show - показать список\nblacklist clear - очистить список

# file: ../trunk/plugins/bomb.py
blue	синий
red	красный
magenta	фиолетовый
green	зеленый
cyan	голубой
yellow	желтый
white	белый
black	черный
Here is no candidate to take a bomb!	В этой конференции некому дать бомбу!
It's a lucky day for you! Bomb is fault! Right wide is %s	Тебе повезло! Бомба не сработала! Правильный провод был %s
You were wrong! Right wire is %s	Ты ошибся! Правильный провод %s
Not allowed in private!	Не доступно в привате!
In this room not allowed take a bomb!	В этой конференции нельзя раздавать бомбы!
This room alredy boombed!	Бомба уже установлена!
I can't take a bomb to %s	Не могу дать бомбу %s
/me take a bomb to %s with wires %s. Time to deactivate is %s sec.	/me дала бомбу %s с проводами %s. Время деактивации %s сек.
/me explode %s	/me взорвала %s
Bomb is deactivated! Congratulations!	Бомба деактивирована! Поздравляю!
Take a bomb joke!	Выдача бомбы!

# file: ../trunk/plugins/calendar.py
\nMon Tue Wed Thu Fri Sat Sun\n	\nПн Вт Ср Чт Пт Сб Вс\n
Now: %s%s	Сейчас: %s%s
Calendar. Without parameters show calendar for current month.\ncalendar [month][year][symbol_splitter]	Показ календаря. Без параметров показывает календарь на текущий месяц\ncalendar [месяц][год][символ_разделитель]

# file: ../trunk/plugins/clear.py
Clean by %s messages in approximately %s sec.	Начинаю зачистку! Сообщений: %s, время зачистки примерно %s сек.
Cleaned!	Стерильно!!!
Hidden cleaning of conference history.	Скрытая очистка истории сообщений. По умолчанию будет послано 20 скрытых + 1 сообщение в конференцию. Можно задать свой параметр от 2 до 100.

# file: ../trunk/plugins/convert.py
Available values:\n%s	Допустимые значения:\n%s
Currency converter\nconvert from to count\nconvert list	Конвертер валют\nconvert из в сумма\nconvert list

# file: ../trunk/plugins/cron.py
I can't!	Не умею!

# file: ../trunk/plugins/disco.py
Total: %s	Всего: %s
"%s" not found	"%s" не найдено
Not found.	Не найдено.
Total: %s%s	Всего: %s%s
I can't do it	Не получается...
This command in use somewhere else. Please try later.	Эта команда используется в другом месте. Пожалуйста, попробуйте позже.
Please wait. Result you will be receive in private message approximately %s %s	Ожидайте, результат Вы получите в приват примерно через %s %s
sec.	сек.
matches with nick "%s": %s	совпадений с ником "%s": %s
nick "%s" not found.	ник "%s" не найден.
Total conferences: %s, available: %s	Всего конференций: %s, доступно: %s
Service discovery.\ndisco server.tld - request information about server\ndisco conference.server.tld [body [size]] - find body string in conference list and show size results\ndisco room@conference.server.tld [body [size]] - find body string in disco room conference and show size results.	Обзор сервисов.\ndisco server.tld - запрос информации о сервере\ndisco conference.server.tld [body [size]] - поиск строки body в обзоре конференций и показ size результатов\ndisco room@conference.server.tld [body [size]] - поиск строки body в обзоре конференции room и показ size результатов
Find nick on conference server\nwhereis - find your nick on current conference server\nwhereis nick - find nick on current conference server\nwhereis nick [conference.]server.tld - find nick on server server.tld	Поиск ника по серверу конференций\nwhereis - поиск своего ника по серверу на котором находится текущая конференция\nwhereis nick - поиск ника по серверу на котором находится текущая конференция\nwhereis nick [conference.]server.tld - поиск ника по серверу server.tld

# file: ../trunk/plugins/domain.py
Sites at Domain/IP address: %s\n	Сайты расположенные на IP адресе/домене: %s\n
Domain/IP address info:	Информация о IP адресе/домене:
No data!	Нет данных!
Domain/IP address whois info.	Показывает информацию whois домена/IP адреса\ndomain_info IP|домен\ndomain_info sites IP|домен - показывает сайты находящиеся на домене/IP адресе

# file: ../trunk/plugins/drink.py
first	первое
second	второе
third	третье
fourth	четвертое
fifth	пятое
sixth	шестое
seventh	седьмое
eighth	восьмое
nineth	девятое
tenth	десятое
eleventh	одинадцатое
twelveth	двенадцатое
thirteenth	тринадцатое
fourteenth	четырнадцатое
fivteenth	пятнадцатое
sixteenth	шеснадцатое
seventeenth	семнадцатое
eighteenth	восемнадцатое
nineteenth	девятнадцатое
twenty-first	двадцать первое
twenty-second	двадцать второе
twenty-third	двадцать третье
twenty-fourth	двадцать четвёртое
twenty-fifth	двадцать пятое
twenty-sixth	двадцать шестое
twenty-seventh	двадцать седьмое
twenty-eighth	двадцать восьмое
twenty-nineth	двадцать девятое
thirtieth	тридцатое
thirty-first	тридцать перове
january	январь
february	февраль
march	март
april	апрель
may	май
june	июнь
july	июль
august	август
september	сентябрь
october	октябрь
november	ноябрь
december	декабрь
January	января
February	февраля
March	марта
April	апреля
May	мая
June	июня
July	июля
August	августа
September	сентября
October	октября
November	ноября
December	декабя
monday	понедельник
tuesday	вторник
wendesday	среда
thirsday	четверг
friday	пятница
saturday	суббота
sunday	воскресенье
last	послендий
Last	последняя
lAst	последнее
Read file error.	Ошибка чтения файла.
Holiday: %s not found.	Повод: %s не найден.
I know holidays: %s	Я знаю поводы выпить: %s
Database doesn't exist.	К сожалению база отсутствует.
Find holiday\ndrink [name_holiday/date]	Поиск повода выпить ;)\ndrink [повод/дата]

# file: ../trunk/plugins/dumpz.py
Posting by URL: %s	Запостила по ссылке %s 
Unexpected error	Непредвиденная ошибка
Posting text&code on dedicated server for easy sharing.\ndumpz text - posting plain text,\ndumpz [sh|c|html|py|php|css|sql|cpp] - posting text with highlighting	Отправка текста и кода на выделенные сервера для совместного использования.\ndumpz text - отправка простого текста,\ndumpz [sh|c|html|py|php|css|sql|cpp] - отправка текста с подсветкой

# file: ../trunk/plugins/empty.py
command decription	описание команды.

# file: ../trunk/plugins/execute.py
I can't execute it! Error: %s	Я не могу это исполнить! Ошибка: %s
I can't calculate it	Я не могу это посчитать
Expression unacceptable!	Недопустимое выражение!
Calculator.	Калькулятор.
Execution of external code.	Выполнение внешнего кода.

# file: ../trunk/plugins/gis.py
Night	Ночь
Morning	Утро
Day	День
Evening	Вечер
rain	дождь
downpour	ливень
snow	снег
storm	гроза
no data	нет данных
no precipitation	без осадков
clear	ясно
cloudy	малооблачно
Cloudy	облачно
overcast	пасмурно
N	С
NE	СВ
E	В
SE	ЮВ
S	Ю
SW	ЮЗ
W	З
NW	СЗ
Weather in %s:\nDate\t t%s\tWind\tClouds	Погода в %s:\nДата\t t%s\tВетер\tОбл.
\tPressure, mm. Hg. Art.\tHumidity %	\tДавление, мм.рт.ст.\tВлажность %
\tCalm	\tШтиль
Error! %s	Ошибка! %s
Found:	Найдено:
Weather forecast (short). Courtesy Gismeteo.Ru | http://www.gismeteo.ru	Краткий прогноз погоды. Предоставлено Gismeteo.Ru | http://www.gismeteo.ru
Weather forecast (full). Courtesy Gismeteo.Ru | http://www.gismeteo.ru	Полный прогноз погоды. Предоставлено Gismeteo.Ru | http://www.gismeteo.ru'

# file: ../trunk/plugins/google.py
wiki %s inurl:en.wikipedia.org/wiki	вики %s inurl:ru.wikipedia.org/wiki
Expression "%s" not found!	Выражение "%s" не найдено!
xep "%s" not found!	xep "%s" не найден!
Albanian	албанский
English		английский
Arabic	арабсий
Afrikaans	африкаанс
Belarusian	белорусский
Bulgarian	болгарский
Welsh	валийский
Hungarian	венгерский
Vietnamese	вьетнамский
Galician	галийский
Dutch	голландский
Greek	греческий
Danish	датский
Hebrew	иврит
Yiddish	идиш
Indonesian	индонезийский
Irish	ирландский
Icelandic	исландский
Spanish	испанский
Italian	итяльянский
Catalan	каталанский
Chinese	китайский
Korean	корейский
Latvian	латвийский
Lithuanian	литовский
Macedonian	македонский
Malay	малайский
Maltese	мальтийский
German	немецкий
Norwegian	норвежский
Persian	персидский
Polish	польский
Portuguese	португальский
Romanian	румынский
Russian	русский
Serbian	сербский
Slovak	словакский
Slovenian	словенский
Swahili	суахили
Tagalog	тагальский
Thai	тайский
Turkish	турекий
Ukrainian	украинский
Finnish	финский
french	французский
Hindi	хинди
Croatian	хорватский
Czech	чешский
Swedish	шведский
Estonian	эстонский
Japanese	японский
Available languages for translate:	Доступные языки для перевода:
Available languages: %s	Известные языки: %s
I don't know this language	Я не знаю таких языков
Incorrect language settings for translate. tr list - available languages.	Неправильно указан язык или нет текста для перевода. tr list - доступные языки
Command's format: tr from to text	Формат команды: tr с_какого на_какой текст
Translator.\ntr from_language to_language text - translate text\ntr list - list for available languages for translate\ntr info <reduction> - get info about language reduction	Переводчик.\ntr с_какого_языка на_какой_язык текст - перевод текста\ntr list - список языков для перевода\ntr info <сокращение> - расшифровка сокращения языка
Search in google	Поиск через google
Search XEP	Поиск XEP
Search in en.wikipedia.org	Поиск по ru.wikipedia.org

# file: ../trunk/plugins/googleplus.py
Google Calculator results not found	Калькулятор google не может это просчитать!
I don't know!	Хм. Мне про это никто не рассказывал...
Google Calculator	Калькулятор google
Definition for a word or phrase.\ndefine word - random define of word or phrase\ndefine N word - N-th define of word or phrase\ndefine a-b word - from a to b defines of word or phrase	Определение слова или фразы.\ndefine слово - случайное определение\ndefine N слово - N-нное определение\ndefine a-b слово - определения слова с номера a до b
Parse full phrase	Поиск по полной фразе

# file: ../trunk/plugins/hideroom.py
This command available only in private!	Команда доступна только в привате!
Hidden conferences:	Я скрываю конфы:
No hidden conferences.	Скрытых конференций нет.
I am not in the %s	Меня нет в %s
I'm already hide a %s	Я уже скрываю конфу %s
%s has been hidden	%s была скрыта
%s will be shown	%s будет показана
Hide conference.\nhide [add|del|show] [room@conference.server.tld]	Скрыть конференцию.\nhide [add|del|show][ room@conference.server.tld]

# file: ../trunk/plugins/horo.py
aries	овен
taurus	телец
gemini	близнецы
cancer	рак
leo	лев
virgo	дева
libra	весы
scorpio	скорпион
sagittarius	стрелец
capricorn	козерог
aquarius	водолей
pisces	рыбы
Aries	Овен
Taurus	Телец
Gemini	Близнецы
Cancer	Рак
Leo	Лев
Virgo	Дева
Libra	Весы
Scorpio	Скорпион
Sagittarius	Стрелец
Capricorn	Козерог
Aquarius	Водолей
Pisces	Рыбы
Aries %s	Овен %s
Taurus %s	Телец %s
Gemini %s	Близнецы %s
Cancer %s	Рак %s
Leo %s	Лев %s
Virgo %s	Дева %s
Libra %s	Весы %s
Scorpio %s	Скорпион %s
Sagittarius %s	Стрелец %s
Capricorn %s	Козерог %s
Aquarius %s	Водолей %s
Pisces %s	Рыбы %s
Sent in private message	Сообщение отправлено в приват
List of dates:\n%s	Список дат:\n%s
Message send to private	Отправлен в приват
Horoscope.\nhoro list - show all zodiacs.\nhoro date - show dates for zodiacs. | Author: ferym	Показывает гороскоп для указанного знака гороскопа. Просмотр знаков зодиака - "horo list". Просмотр списка дат - "horo date" | Автор: ferym

# file: ../trunk/plugins/idle.py
I can't find %s	Не могу найти %s
Your last activity was %s ago	Ваша последняя активность была %s назад
%s's last ativity was %s ago	Последняя активность %s была %s назад
message	сообщение
presence	презенс
Idle time	Время с момента последней активности

# file: ../trunk/plugins/inlist.py
Total banned: %s	Всего в бане: %s
Total owners: %s	Всего владельцев: %s
Total admins: %s	Всего администраторов: %s
Total members: %s	Всего постоянных участников: %s
no matches!	совпадений нет!
Search in outcast list of conference.	Поиск по outcast списку конференции.
Search in members list of conference.	Поиск по members списку конференции.
Search in admins list of conference.	Поиск по admins списку конференции.
Search in owners list of conference.	Поиск по owners списку конференции.

# file: ../trunk/plugins/invite.py
%s ishere!	%s находится тут!
Invited	Позвала
I seen some peoples with this nick. Get more info!	Я видела несколько человек с таким ником. Укажите точнее!
I don'n know %s	Я не знаю %s
%s invite you to %s	%s просит Вас зайти в %s
because %s	по причине %s
Invite to conference.\ninvite nick|jid\n[reason]	Пригласить участника в конференцию.\ninvite nick|jid\n[причина]

# file: ../trunk/plugins/iq.py
vCard tags:	Теги из визитки:
vCard:	Визитка:
Nick	Ник
Name	Имя
About	О себе
URL	Ссылка
Empty!	Пусто!
Uptime: %s	Аптайм: %s
Ping from you %s sec.	Пинг от тебя %s сек.
Ping from %s %s sec.	Пинг от %s %s сек.
Server statistic: %s | Total: %s | Online: %s	Статистика сервера: %s | Всего: %s | Онлайн: %s
Client version.	Версия клиента.
Ping - reply time. You can ping nick in room, jid, server or transport.	Пинг - время отклика. Можно пинговать ник в конференции, jid, сервер, транспорт.
Client side time.	Локальное время клиента.
Client side time + raw time format.	Локальное время клиента + время в формате из станзы.
Users server statistic.	Статистика пользователей сервера.
vCard query. Recomends make command base alias for query needs info.\nvcard_raw [nick] - query generic info\nvcard_raw nick\nshow - show available fields\nvcard_raw nick\n[field:name|field:name] - show requested fields from vcard.	Запрос vcard. Рекомендуется составить alias на базе команды для вывода нужных полей.\nvcard_raw [nick] - показ основной информации из vcard\nvcard_raw nick\nshow - показ доступных полей vcard\nvcard_raw nick\nполе:название|поле:название - показ запрошенных полей из vcard
Server or jid uptime.	Аптайм jabber сервера или jid'а

# file: ../trunk/plugins/istrue.py
100% True-nick!	100% Ъ-ник!
Nicks without letters isn't true!	Ники без букв не Ъ!
Valid of nick is - %s%s	Кошерность ника %s%s
Normal nick, but left symbols in fireplace.	Нормальный ник, а вот левые символы фтопку!
Many caps - %s%s	Много капса - %s%s
Dominate letters:	Преобладают буквы:
Latin	Латиница
Cyrillic	Кириллица
Equally	Поровну
And?	Ну и?
Expression is true for %s%s	Вероятность того, что выражение верно - %s%s
Check truth of expession.	Проверка выражения на правдивость.
Check different languages symbols in nick.	Проверка ника на наличие использования букв из разных языков.

# file: ../trunk/plugins/jc.py
Show information about conference from jc.jabber.ru.\njc [address]	Показывает информацию о указанной конференции с ресурса jc.jabber.ru\njc [конфа]

# file: ../trunk/plugins/jidcatcher.py
What I must find?	Чего искать-то будем?
'%s' not found!	'%s' не найдено!
Total resources: %s	Всего ресурсов: %s
Found resources: %s	Найдено ресурсов: %s
Total servers: %s	Всего серверов: %s
Found servers: %s	Найдено серверов: %s
Max count of members: %s %s	Максимальное количество участников: %s %s
Statistic not found!	Статистика не найдена!
Without parameters show top10 resources for all conferences, where bot is present.\nwith parameters - search in resources base\ncount - number of results.	Без параметра показывает топ10 рессурсов по всем конференциям, где находится бот.\nС параметром - поиск по базе рессурсов.\nЧисла - количество рессурсов.
Wihtout parameters show all servers freom where joined in rooms, where bot is present\nwith parameters - search on servers base\ncount - show number of results.	Без параметра показывает все сервера, с которых заходили в конференции, где находится бот.\nС параметром - поиск по базе серверов.\nЕсли параметр count - показывает количество уникальных серверов.\nЧисла - количество серверов.
Search in internal jids base.	Поиск по внутренней базе jid'ов.
Conference's activity.	Активность конференции.

# file: ../trunk/plugins/juick.py
Smoke help about command!	Курим помощь по команде!
What message do you want to find?	Какой пост найти?
Message #%s is not found!	Сообщение #%s не найдено!
I can't show message #%s!	Я не могу показать сообщение #%s!
Unknown error while message #%s parsing!	Неизвестная ошибка при запросе сообщения #%s!
Replies:	Ответов:
Unknown server ansver!	Неизвестный ответ сервера!
Miniblogs http://juick.com\njuick [msg][#]post - show post	Миниблоги http://juick.com\njuick [msg][#]post - показать пост

# file: ../trunk/plugins/karma.py
In this room karma is not changed!	В данной конфе карма не изменялась!
Top karma: %s	Топ кармы: %s
Karma for members is present not changed!	У присутсвующих карма не изменялась!
Your	тебя
I'm not sure, but %s not is here.	Я не уверена, но %s тут нет.
%s have a clear karma	У %s чистая карма
%s karma is %s	У %s карма %s
You can't change karma in private!	Изменение кармы в привате запрещено!
You can't change karma in outdoor conference!	Нельзя изменить карму участника вне конференции!
You can't change own karma!	Нельзя изменить карму самому себе!
You changes %s's karma to %s. Next time to change across: %s.	Вы изменили карму %s до %s. Следующий раз можно изменить через: %s
Time from last change %s's karma is very small. Please wait %s.	Вы недавно меняли карму %s. Надо подождать: %s.
You can't change karma!	Вам нельзя менять карму участника!
Karma.\nkarma [show] nick\nkarma top+|- [count]\nFor change karma: nick: +1\nnick: -1	Карма участника.\nkarma [show] nick\nkarma top+|- [количество]\nДля изменения:\nnick: +1\nnick: -1

# file: ../trunk/plugins/known.py
I know you as:	Я видела тебя как:
I know %s as:	Я видела %s как:
Show user's nick changes.	Показ смены ников.

# file: ../trunk/plugins/lastfm.py
Last track %s: %s - %s %s	Последняя дорожка %s: %s - %s %s
Unavailable!	Недоступно!
Last tracks %s:	Последние дорожки %s:
Loved tracks %s:	Любимые треки %s:
Neighbours %s:	Соседи %s:
Playlists %s:	Плейлисты %s:
Top albums %s:	Топ альбомов %s:
Top artists %s:	Топ исполнителей %s:
Top tags %s:	Топ тегов %s:
Top tracks %s:	Топ треков %s:
Need two users	Надо указать двух пользователей
Tastes of %s and %s - soo different!	Совместимость %s и %s - нулевая!
Match tastes of %s and %s - %s	Совпадение вкусов %s и %s - %s
Artists: %s	Исполнители: %s
Not found LastFM api	Не найден LastFM api
Last scrobled tracks	Последние скробленные треки
Last scrobled track	Последний скробленный трек
Last friends	Последние друзья
Last loved tracks	Последние любимые треки
Last neighbours	Соседи по вкусам
Last playlist	Последний плейлист
Top albums	Топ альбомов
Top artists	Топ исполнителей
Top tags	Топ тегов
Top tracks	Топ треков
Music tastes	Музыкальная совместимость

# file: ../trunk/plugins/logger.py
Users: %s (%s)	Пользователи: %s (%s)
leave	вышел
join as	зашел как
now is	теперь
Logged conferences:	Я веду логи в:
Logs are turned off in all conferences.	Логи не включены ни в одной конференции.
Logs for %s already enabled.	Я уже веду логи конфы %s
Logs for %s enabled.	Логи для %s включены.
Logs for %s disabled.	Логи для %s выключены.
Logging history conference.\nlog [add|del|show][ room@conference.server.tld]	Включение логов конференции.\nlog [add|del|show][ room@conference.server.tld]

# file: ../trunk/plugins/main.py
full	полностью
partial	частично
on	вкл
off	выкл
kick	выгонять
ban	банить
replace	заменять
mute	подавлять
visitor	лишать голоса
truncate	обрезать
paste	размещать
chat	готова болтать
online	в сети
away	отошла
xa	давно отошла
dnd	не беспокоить
no limit	без ограничений
visitor/none	гость без полномочий
visitor/member	гость и постоянный участник
participant/none	участник без полномочий
participant/member	постоянный участник
moderator/none	модератор без полномочий
moderator/member	модератор и постоянный участник
moderator/admin	модератор и администратор
moderator/owner	владелец конференции
bot owner	владелец бота
You should be at least %s to do it.	Для этого действия ты должени иметь статус не ниже: %s
You must be a %s to do it.	Для этого надо иметь статус: %s
Bad request	Кривой запрос
Conflict	Конфликт
Feature not implemented	Фича не реализована
Forbidden	Запрещено
Gone	Истекло
Internal server error	Внутреняя ошибка сервера
Item not found	Элемент не найден
Jid malformed	Неправильный jid
Not acceptable	Не приемлемо
Not allowed	Не допустимо
Not authorized	Не авторизован
Payment required	Запрещено внутренней политикой сервера
Recipient unavailable	Получатель недоступен
Redirect	Переадресация
Registration required	Требуется регистрация
Remote server not found	Удалённый сервер не найден
Remote server timeout	Таймаут удалённого сервера
Resource constraint	Ограничение ресурсов
Service unavailable	Сервис недоступен
Subscription required	Требуется подписка
Undefined condition	Неопределенное состояние
Unexpected request	Неожиданный запрос
Mon	Пн
Tue	Вт
Wed	Ср
Thu	Чт
Fri	Пт
Sat	Сб
Sun	Вс
Winter time	Зимнее время
Summer time	Летнее время
Jan	Янв
Fed	Фев
Mar	Мар
Apr	Апр
Jun	Июн
Jul	Июл
Aug	Авг
Sep	Сен
Oct	Окт
Nov	Ноя
Dec	Дек
Locale set to: %s	Установлена локализация: %s
Locale not found!	Локализация не найдена!
Locale set to: en	Установлена локализация: en
Current locale: %s	Текущая локализация: %s
Command temporary blocked!	Команда временно блокирована!
Command execution error.	Ошибка выполнения команды.
ok	ок
Enabled: %s	Включено: %s
Only conference owner can enable commands!	Включение команд доступно только владельцу конференции!
Command %s is not disabled!	Для данной конференции команда %s не была отключена!
What enable?	Что включить?
Disabled commands: %s	Отключены команды: %s
Commands disabled before: %s	Отключенные ранее команды: %s
Commands not found: %s	Не найдены команды: %s
What disable?	Что отключить?
Only conference owner can disable commands!	Отключение команд доступно только владельцу конференции!
Disabled commands not found!	Для данной конференции нет отключенных команд!
leave this room.	покинул данную конференцию.
I can't see %s here...	Я могу ошибаться, но %s тут нету...
Last update:\n%s	Последнее обновление:\n%s
Mode %s not detected!	Режим %s не опознан!
Unable to remove %s	Невозможно удалить %s
Removed: %s	Удалено: %s
Aliases: %s	Сокращения: %s
Aliases not found!	Сокращения не найдены!
%s days %s	%s дней %s
%s Days %s	%s дня %s
%s day %s	%s день %s
%s months %s	%s месяцев %s
%s Months %s	%s месяца %s
%s month %s	%s месяц %s
%s years %s	%s лет %s
%s Years %s	%s года %s
%s year %s	%s год %s
absent	отсутствует
Command prefix: %s	Префикс команд: %s
Uptime: %s, Last session: %s	Время работы: %s, Последняя сессия: %s
Total Error(s): %s\n	Ошибки: %s\n
No Errors	Нет ошибок
Who do you need?	А был ли мальчег?
Access level: %s	Доступ: %s
Ignored	Игнорируемый
Minimal	Минимальный
Visitor	Гость
Visitor and Member	Гость и постоянный участник
Participant	Участник
Member	Постоянный участник
Moderator	Модератор
