# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                         Ukrainian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o11 Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Невідома помилка!
Manage of conferences blacklist.\nblacklist add|del|show|clear\nblacklist add|del room@conference.server.tld - add|remove address from blacklist\nblacklist show - show blacklist\nblacklist clear - clear blacklist	Чорний список конференцій.\nblacklist add|del|show|clear\nblacklist add|del room@conference.server.tld - додати|видалити конференцію до/з чорного списку\nblacklist show - показати список\nblacklist clear - очистити список

# file: ../trunk/plugins/bomb.py
blue	синій
red	червоний
magenta	фіолетовий
green	зелений
cyan	блакитний
yellow	жовтий
white	білий
black	чорний
It's a lucky day for you! Bomb is fault! Right wide is %s	Тобі пощастило, бомба не спрацювала. Правильний провід %s
You were wrong! Right wire is %s	Ти помилився! Правильний провід %s
Not allowed in private!	Не доступно в приваті
Here is no candidate to take a bomb!	В цій конференції нікому дати бомбу!
In this room not allowed take a bomb!	У цій конференції не можна роздавати бомби
This room alredy boombed!	Бомба вже встановлена
I can't take a bomb to %s	Не можу дати бомбу %s
/me take a bomb to %s with wires %s. Time to deactivate is %s sec.	/me дала бомбу %s з проводами %s. Час деактивації %s
/me explode %s	/me підірвала %s
Bomb is deactivated! Congratulations!	Бомба деактивована! Вітаю!
Take a bomb joke!	Видача бомби

# file: ../trunk/plugins/bugmenot.py
%s%% (%s votes)	%s%% (%s голосів)
Site Blocked	Сайт заблокований
No results!	Результати відсутні!
Login: %s, Pass: %s - %s %s	Логін: %s, Пароль: %s - %s %s
Search in bugmenot.com	Пошук по bugmenot.com

# file: ../trunk/plugins/calendar.py
\nMon Tue Wed Thu Fri Sat Sun\n	\nПн Вт Ср Чт Пт Сб Нд\n
Now: %s%s	Зараз: %s%s
Calendar. Without parameters show calendar for current month.\ncalendar [month][year][symbol_splitter]	Показ календаря. Без параметрів показує календар на поточний місяць\ncalendar [місяць][рік][символ_роздільник]

# file: ../trunk/plugins/clear.py
Clean by %s messages in approximately %s sec.	Розпочинаю зачистку! Повідомлень: %s, час зачистки приблизно %s сек.
Cleaned!	Стерильно!
Hidden cleaning of conference history.	Прихована очистка історії повідомлень. По замовчуванню буде послано 20 прихованих + 1 повідомлення в конференцію. Можна задати свій параметр від 2 до 100.

# file: ../trunk/plugins/convert.py
Available values:\n%s	Допустимі значення:\n%s
Currency converter\nconvert from to count\nconvert list	Конвертор валют\nconvert з до сума\nconvert list

# file: ../trunk/plugins/cron.py
I can't!	Не вмію!

# file: ../trunk/plugins/disco.py
Total: %s	Усього: %s
"%s" not found	"%s" не знайдено
Not found.	Не знайдено.
Total: %s%s	Усього: %s%s
I can't do it	Не виходить...
This command in use somewhere else. Please try later.	Ця команда використовується в іншому місці. Будь ласка, спробуйте пізніше.
Please wait. Result you will be receive in private message approximately %s %s	Чекайте, результат ви отримаєте в приват приблизно через %s %s
sec.	сек.
matches with nick "%s": %s	збігів з ніком "%s": %s
nick "%s" not found.	нік "%s" не знайдений.
Total conferences: %s, available: %s	Усього конференцій: %s, доступне: %s
Service discovery.\ndisco server.tld - request information about server\ndisco conference.server.tld [body [size]] - find body string in conference list and show size results\ndisco room@conference.server.tld [body [size]] - find body string in disco room conference and show size results.	Огляд сервісів.\ndisco server.tld - запит інформації про сервер\ndisco conference.server.tld [body [size]] - пошук рядка body в огляді конференцій і показ size результатів\ndisco room@conference.server.tld [body [size]] - пошук рядка body в огляді конференції room і показ size результатів
Find nick on conference server\nwhereis - find your nick on current conference server\nwhereis nick - find nick on current conference server\nwhereis nick\n[conference.]server.tld - find nick on server server.tld	Пошук ніка по серверу конференцій\nwhereis - пошук свого ніка по серверу, на якому знаходиться поточна конференція\nwhereis nick - пошук ніка по серверу, на якому знаходиться поточна конференція\nwhereis nick\n[conference.]server.tld - пошук ніка по серверу server.tld

# file: ../trunk/plugins/dist.py
%s kilometers	%s кілометрів
Distance between cities	Відстань між містами

# file: ../trunk/plugins/domain.py
Sites at Domain/IP address: %s\n	Сайти, розташовані на IP-адресі/домені: %s\n
Domain/IP address info:	Інформація о IP-адресі/домені:
No data!	Немає даних!
Unexpected error	Непередбачувана помилка
Domain/IP address whois info.	Показує інформацію whois домену/IP-адреси\ndomain_info IP|домен\ndomain_info sites IP|домен - показує сайти, що знаходяться на домені/IP-адресі

# file: ../trunk/plugins/drink.py
first	перше
second	друге
third	трете
fourth	четверте
fifth	п'яте
sixth	шосте
seventh	сьоме
eighth	восьме
nineth	дев'яте
tenth	десяте
eleventh	одинадцяте
twelveth	дванадцяте
thirteenth	тринадцяте
fourteenth	чотирнадцяте
fivteenth	п'ятнадцяте
sixteenth	шістнадцяте
seventeenth	сімнадцяте
eighteenth	вісімнадцяте
nineteenth	дев'ятнадцяте
twenty-first	двадцять перше
twenty-second	двадцять друге
twenty-third	двадцять трете
twenty-fourth	двадцять четверте
twenty-fifth	двадцять п'яте
twenty-sixth	двадцять шосте
twenty-seventh	двадцять сьоме
twenty-eighth	двадцять восьме
twenty-nineth	двадцять дев'яте
thirtieth	тридцяте
thirty-first	тридцять перше
january	січень
february	лютий
march	березень
april	квітень
may	травень
june	червень
july	липень
august	серпень
september	вересень
october	жовтень
november	листопад
december	грудень
January	січня
February	лютого
March	березня
April	квітня
May	Трав
June	червня
July	липня
August	серпня
September	вересня
October	жовтня
November	листопада
December	грудня
monday	понеділок
tuesday	вівторок
wendesday	середа
thirsday	четвер
friday	п'ятниця
saturday	субота
sunday	неділя
last	останній
Last	остання
lAst	остання
Read file error.	Помилка читання файлу.
Holiday: %s not found.	Привід: %s не знайдений.
I know holidays: %s	Я знаю приводи випити: %s
Database doesn't exist.	На жаль, база відсутня.
Find holiday\ndrink [name_holiday/date]	Пошук приводу випити ;)\ndrink [привід/дата]
Find holiday\ncalend [name_holiday/date]	Пошук приводу випити ;)\ncalend [привід/дата]

# file: ../trunk/plugins/dumpz.py
Posting by URL: %s	Розмістила за посиланням %s 
Posting text&code on dedicated server for easy sharing.\ndumpz text - posting plain text,\ndumpz [sh|c|html|py|php|css|sql|cpp] - posting text with highlighting	Відправка тексту та коду на виділені сервери для спільного використання.\ndumpz text - відправка простого тексту,\ndumpz [sh|c|html|py|php|css|sql|cpp] - відправка тексту з підсвічуванням

# file: ../trunk/plugins/empty.py
command decription	опис команди

# file: ../trunk/plugins/execute.py
I can't execute it! Error: %s	Я не можу це виконати! Помилка: %s
I can't calculate it	Я не можу це порахувати
Expression unacceptable!	Неприпустимий вираз!
Calculator.	Калькулятор.
Execution of external code.	Виконання зовнішнього коду.

# file: ../trunk/plugins/flibusta.py
No news	Новинок не знайдено
Total found %s matches. Result(s) %s:\n	Всього знайдено %s відповідностей. Результат(и) %s:\n
Search books and authors on flibusta.net.\nflibusta [-a author] [-t title] [-n number of result]	Пошук книг та авторів на сайті flibusta.net.\nflibusta [-a автор] [-t назва] [-n номер результату]

# file: ../trunk/plugins/fun.py
Yes	Так
Yes - definitely	Так - напевне
You may rely on it	Ви можете покластися на це
Without a doubt	Без сумнівів
Signs point to yes	Знаки говорять так
Outlook good	Гарна перспектива
Most likely	Найбільш ймовірно
It is decidedly so	Це рішуче так
It is certain	Це безперечно
As I see it, yes	Я бачу, що це так
Reply hazy, try again	Туманна відповідь, спробуйте ще раз
Ask again later	Запитайте знову пізніше
Better not tell you now	Краще не говорити Вам зараз
Cannot predict now	Не можу передбачити зараз
Concentrate and ask again	Сконцентруйтесь і запитайте знову
Don't count on it	Не розраховуйте на це
My reply is no	Моя відповідь ні
Outlook not so good	Перспектива, не настільки хороша 
My sources say no	Мої джерела говорять ні
Head	Орел
Tail	Решка
For members this command not available in private!	Учасникам дана команда в приваті недоступна!
gave NICK ... just gave ... :-"	дала NICK... просто в око... :-"
poked a stick NICK in the eye ...	потикала дрючком в око NICK...
suggested NICK shrimp :-[	запропонувала NICK козявку :-[
fed NICK laxative with powdered glass!	нагодувала NICK пургеном з товченим склом!
whispered in his ear softly NICK LOL!	прошепотіла NICK на вухо тихесенько МОСКАЛІ!
trying kick the ass NICK	цілиться в NICK плюсометом і добро посміхається
threw the crowbar aside NICK	кинула ломик в бік NICK
gave NICK strawberry poison	дала NICK полуничного йаду
jumped around with a tambourine NICK	пострибала з бубном навколо NICK
sticking NICK with the words "buy ice cream, you creep!"	тикає NICK зі словами "купи морозива, гадюка!"
Sent in private message	Повідомлення відправлено до привату
Phrases:	Фрази:
The record doesn't exist!	Такої фрази немає!
Removed: %s	Видалено: %s
Added	Додала
I can't add it! No keyword "NICK"!	Не можу додати! Немає ключового слова "NICK"!
Masochist? 8-D	Самотик? 8-D
I ban a ip for such jokes!	Ща зобаню по ip за такі жарти!
I could be wrong, but %s not is here...	Я можу помилятися, але %s тут немає...
You live %s years or %s days or %s hours or %s minutes or %s seconds.\nYou slept %s hours, or %s days.\nYou blink about %s times.\nYour heart pumped %s liters of blood and made %s strikes.\nYou drank %s liters of water and drank it %s hours.\nYou have increased by %s centimeters in my head of hair, dropped %s pieces, all of the hair %s kilometers.\nYou grew up in the hands %s centimeters and in the feet %s centimeters nails.\nYou breathed %s liters of air a total weight of %s kilograms.\nYou have stood out %s liters of sweat, and %s liters of urine, and %s liters of saliva.\nYou lost %s billion nerve cells.\nYou laughed %s times.\nYou've gone %s kilometers	Ти живеш %s років, або %s днів, або %s годин, або %s хвилин, або %s секунд.\nТи спав(ла) %s годин, або %s діб.\nТи моргнув(ла) приблизно %s разів.\nТвоє серце перекачало %s літрів крові та зробило %s ударів.\nТи випив(ла) %s літрів води і пив(ла) її %s годин.\nУ тебе виросло на голові %s сантиметрів волосся, випало %s штук, все волосся %s кілометрів.\nУ тебе виросло на руках %s сантиметрів і на ногах %s сантиметрів нігтів.\nТи вдихнув(ла) %s літрів повітря загальною вагою %s кілограмів.\nУ тебе виділилося %s літрів поту, %s літрів сечі та %s літрів слини.\nТи втратив(ла) %s мільйонів нервових клітин.\nТи сміявся(лась) %s раз.\nТи прошов(ла) %s кілометрів
Prophecy oracle. Example: oracle your_answer?	Пророцтва оракула. Приклад: oracle ваше_запитання?
Heads or tails	Орел чи решка
"Poke" command\npoke nick - say a random phrase for nick\nControls command, available only for bot owner:\npoke show - show list of phrases\npoke add phrase - add phrase\npoke del phrase_number - remove phrase.	Команда "тик"\npoke nick - сказати випадкову фразу nick\nКоманди управління, доступні лише власнику бота:\npoke show - показати список фраз\npoke add фраза - додати фразу\npoke del номер_фрази - видалити фразу
Info about your life. Example: life dd.mm.yy [hour:min:sec]	Інформація про твоє життя. Приклад: life дд.мм.рр [год:хв:сек]

# file: ../trunk/plugins/gis.py
Night	Ніч
Morning	Ранок
Day	День
Evening	Вечір
rain	дощ
downpour	злива
snow	сніг
storm	гроза
no data	немає даних
no precipitation	без опадів
clear	ясно
cloudy	малохмарно
Cloudy	хмарно
overcast	похмуро
N	Пн
NE	ПнСх
E	Сх
SE	ПдСх
S	Пд
SW	ПдЗх
W	Зх
NW	ПнЗх
Weather in %s:\nDate\t t%s\tWind\tClouds	Погода в %s:\nДата\t t%s\tВітер\tХмарн
\tPressure, mm. Hg. Art.\tHumidity %	\tТиск, мм.рт.ст.\tВологість %
\tCalm	\tШтиль
Error! %s	Помилка! %s
Found:	Знайдено:
Weather forecast (short). Courtesy Gismeteo.Ru | http://www.gismeteo.ru	Короткий прогноз погоди. Надано Gismeteo.Ru | http://www.gismeteo.ru
Weather forecast (full). Courtesy Gismeteo.Ru | http://www.gismeteo.ru	Повний прогноз погоди. Надано Gismeteo.Ru | http://www.gismeteo.ru

# file: ../trunk/plugins/google.py
%s site:en.wikipedia.org	%s site:uk.wikipedia.org
xep "%s" not found!	xep "%s" не знайдений!
Expression "%s" not found!	Виразу "%s" не знайдено!
Albanian	албанська
English		англійська
Arabic	арабська
Afrikaans	африканська
Belarusian	білоруська
Bulgarian	болгарська
Welsh	валлійська
Hungarian	угорська
Vietnamese	в'єтнамська
Galician	галісійська
Dutch	голландська
Greek	грецька
Danish	данська
Hebrew	іврит
Yiddish	ідиш
Indonesian	індонезійська
Irish	ірландська
Icelandic	ісландська
Spanish	іспанська
Italian	італійська
Catalan	каталанська
Chinese	китайська
Korean	корейська
Latvian	латиська
Lithuanian	литовська
Macedonian	македонська
Malay	малайська
Maltese	мальтійська
German	німецька
Norwegian	норвезька
Persian	персидська
Polish	польська
Portuguese	португальська
Romanian	румунська
Russian	російська
Serbian	сербська
Slovak	словацька
Slovenian	словенська
Swahili	суахілі
Tagalog	тагальська
Thai	тайська
Turkish	турецька
Ukrainian	українська
Finnish	фінська
french	французька
Hindi	хінді
Croatian	хорватська
Czech	чеська
Swedish	шведська
Estonian	естонська
Japanese	японська
Creole	креольська
Available languages for translate:	Доступні мови для перекладу:
Available languages: %s	Відомі мови: %
I don't know this language	Я не знаю таких мов
I can't translate it!	Я не можу цього перекласти!
Incorrect language settings for translate. tr list - available languages.	Неправильно вказана мова або немає тексту для перекладу. tr list - доступні мови
Command's format: tr [from] to text	Формат команди: tr [з_якої] на_яку текст
Translator.\ntr [from_language] to_language text - translate text\ntr list - list for available languages for translate\ntr info <reduction> - get info about language reduction	Перекладач.\ntr [з_якої_мови] на_яку_мову текст - переклад тексту\ntr list - список мов для перекладу\ntr info <скорочення> - розшифровка скорочення мови
Search in google	Пошук через google
Search XEP	Пошук XEP
Search in en.wikipedia.org	Пошук по ru.wikipedia.org

# file: ../trunk/plugins/googleplus.py
Google Calculator results not found	Калькулятор google не може це підрахувати!
I don't know!	Хм. Мені про це ніхто не розповідав...
Google Calculator	Калькулятор google
Definition for a word or phrase.\ndefine word - random define of word or phrase\ndefine N word - N-th define of word or phrase\ndefine a-b word - from a to b defines of word or phrase	Визначення для слова чи виразу.\ndefine слово - випадкове визначення слова чи виразу\ndefine N слово - N-нне визначення слова чи виразу\ndefine a-b word - визначення слова чи фрази з номеру a і до b

# file: ../trunk/plugins/hideroom.py
This command available only in private!	Команда доступна лише в приваті!
Hidden conferences:	Я приховую конфи:
No hidden conferences.	Прихованих конференцій немає.
I am not in the %s	Мене немає в %s
I'm already hide a %s	Я вже приховую конфу %s
%s has been hidden	%s була прихована
%s will be shown	%s буде показана
Hide conference.\nhide [add|del|show] [room@conference.server.tld]	Приховати конференцію.\nhide [add|del|show][ room@conference.server.tld]

# file: ../trunk/plugins/horo.py
aries	овен
taurus	телець
gemini	близнюки
cancer	рак
leo	лев
virgo	діва
libra	терези
scorpio	скорпіон
sagittarius	стрілець
capricorn	козеріг
aquarius	водолій
pisces	риби
Aries	Овен
Taurus	Телець
Gemini	Близнюки
Cancer	Рак
Leo	Лев
Virgo	Діва
Libra	Терези
Scorpio	Скорпіон
Sagittarius	Стрілець
Capricorn	Козеріг
Aquarius	Водолій
Pisces	Риби
Aries %s	Овен %s
Taurus %s	Телець %s
Gemini %s	Близнюки %s
Cancer %s	Рак %s
Leo %s	Лев %s
Virgo %s	Діва %s
Libra %s	Терези %s
Scorpio %s	Скорпіон %s
Sagittarius %s	Стрілець %s
Capricorn %s	Козеріг %s
Aquarius %s	Водолій %s
Pisces %s	Риби %s
List of dates:\n%s	Список дат:\n%s
Message send to private	Відправлено до привату
Horoscope.\nhoro list - show all zodiacs.\nhoro date - show dates for zodiacs. | Author: ferym	Показує гороскоп для вказаного знака зодіаку. Перегляд знаків зодіаку - "horo list". Перегляд списку дат - "horo date" | Автор: ferym

# file: ../trunk/plugins/idle.py
I can't find %s	Не можу знайти %s
Your last activity was %s ago	Ваша остання активність була %s тому
%s's last ativity was %s ago	Остання активність %s була %s тому
message	повідомлення
presence	презенс
Idle time	Час з моменту останньої активності

# file: ../trunk/plugins/inlist.py
Total banned: %s	Усього в бані: %s
Total owners: %s	Усього власників: %s
Total admins: %s	Усього адміністраторів: %s
Total members: %s	Усього постійних учасників: %s
no matches!	збігів немає!
Search in outcast list of conference.	Пошук по outcast списку конференції.
Search in members list of conference.	Пошук по members списку конференції.
Search in admins list of conference.	Пошук по admins списку конференції.
Search in owners list of conference.	Пошук по owners списку конференції.

# file: ../trunk/plugins/invite.py
%s ishere!	%s знаходиться тут!
Invited	Покликала
I seen some peoples with this nick. Get more info!	Я бачила кілька людей з таким ніком. Укажіть точніше!
I don'n know %s	Я не знаю %s
%s invite you to %s	%s просить вас зайти до %s
because %s	з приводу %s
Invite to conference.\ninvite nick|jid\n[reason]	Запросити учасника в конференцію.\ninvite nick|jid\n[привід]

# file: ../trunk/plugins/iq.py
vCard tags:	Теги з візитки:
vCard:	Візитка:
Nick	Нік
Name	Ім'я
About	Про себе
URL	Посилання
Empty!	Пусто!
Uptime: %s	Аптайм: %s
Ping from you %s sec.	Пінг від тебе - %s сек.
Ping from %s %s sec.	Пінг від %s - %s сек.
Server statistic: %s | Total: %s | Online: %s	Статистика сервера: %s | Всього: %s | Онлайн: %s
Client version.	Версія клієнта.
Ping - reply time. You can ping nick in room, jid, server or transport.	Пінг - час відгуку. Можна пінгувати нік в конференції, jid, сервер, транспорт.
Client side time.	Місцевий час клієнта.
Client side time + raw time format.	Місцевий час клієнта + час у форматі зі станзи.
Users server statistic.	Статистика користувачів сервера.
vCard query. Recomends make command base alias for query needs info.\nvcard_raw [nick] - query generic info\nvcard_raw nick\nshow - show available fields\nvcard_raw nick\n[field:name|field:name] - show requested fields from vcard.	Запит vcard. Рекомендується скласти alias на базі команди для виводу потрібних полів.\nvcard_raw [nick] - показ основної інформації із vcard\nvcard_raw nick\nshow - показ доступних полів vcard\nvcard_raw nick\nполе:назва|поле:назва - показ запрошених полів із vcard
Server or jid uptime.	Аптайм jabber-серверу або jid'у

# file: ../trunk/plugins/istrue.py
100% True-nick!	100% Ъ-нік!
Nicks without letters isn't true!	Ніки без літер не Ъ!
Valid of nick is - %s%s	Кошерність ніка %s%s
Normal nick, but left symbols in fireplace.	Нормальний нік, а ліві символи фтопку!
Many caps - %s%s	Багато капсу - %s%s
Dominate letters:	Переважають літери:
Latin	Латиниця
Cyrillic	Кирилиця
Equally	Порівну
And?	Ну і?
Expression is true for %s%s	Ймовірність того, що вираз вірний - %s%s
Check truth of expession.	Перевірка виразу на правдивість.
Check different languages symbols in nick.	Перевірка ніка на використання літер з різних мов.

# file: ../trunk/plugins/ithap.py
Quote from ithappens.ru\nithap [number]	Цитата с ithappens.ru\nithap [номер]

# file: ../trunk/plugins/jc.py
Show information about conference from jc.jabber.ru.\njc [address]	Показує інформацію про вказану конференцію з ресурсу jc.jabber.ru\njc [конфа]

# file: ../trunk/plugins/jidcatcher.py
What I must find?	Що ж будемо шукати?
'%s' not found!	'%s' не знайдено!
Total resources: %s	Усього ресурсів: %s
Found resources: %s	Знайдено ресурсів: %s
Total servers: %s	Усього серверів: %s
Found servers: %s	Знайдено серверів: %s
Max count of members: %s %s	Максимальна кількість учасників: %s %s
Statistic not found!	Статистика не знайдена!
Without parameters show top10 resources for all conferences, where bot is present.\nwith parameters - search in resources base\ncount - number of results.	Без параметра показує топ10 ресурсів по всіх конференціях, де знаходиться бот.\nЗ параметром - пошук по базі ресурсів.\nЧисла - кількість ресурсів.
Wihtout parameters show all servers freom where joined in rooms, where bot is present\nwith parameters - search on servers base\ncount - show number of results.	Без параметра показує усі сервера, з яких заходили в конференції, де знаходиться бот.\nЗ параметром - пошук по базі серверів.\nЗ параметром count показує кількість унікальних серверів.\nЧисла - кількість серверів.
Search in internal jids base.	Пошук по внутрішній базі jid'ів.
Conference's activity.	Активність конференції.

# file: ../trunk/plugins/juick.py
Smoke help about command!	Читаємо довідку по команді!
What message do you want to find?	Який пост знайти?
Message #%s is not found!	Повідомлення #%s не знайдено!
I can't show message #%s!	Я не можу показати повідомлення #%s!
Unknown error while message #%s parsing!	Невідома помилка при запиті повідомлення #%s
Replies:	Відповідей:
Unknown server ansver!	Невідома відповідь сервера
Miniblogs http://juick.com\njuick [msg][#]post - show post	Мініблоги http://juick.com\njuick [msg][#]post - показати пост

# file: ../trunk/plugins/karma.py
In this room karma is not changed!	В даній конфі карма не змінювалась!
Top karma: %s	Топ карми: %s
Karma for members is present not changed!	У присутніх карма не змінювалась!
Your	тебе
I'm not sure, but %s not is here.	Я не впевнена, але %s тут немає.
%s have a clear karma	У %s чиста карма
%s karma is %s	В %s карма %s
You can't change karma in outdoor conference!	Не можна змінити карму учасника поза конференцією!
You changes %s's karma to %s	Ви змінили карму %s до %s
You can't change karma!	Вам не можна змінювати карму учасника!
incorrect digital parameter	невірно заданий цифровий параметр
You clear karma for %s	Ви очистили карму %s
You can't change karma in private!	Зміна карми в приваті заборонено!
You can't change own karma!	Не можна змінити карму самому собі!
You changes %s's karma to %s. Next time to change across: %s.	Ви змінили карму %s до %s. Наступного разу можна змінити через: %s
