# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 1.91
#
#                           Ukrainian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o1o Disabler Production Lab.
# --------------------------------------------------------------------

# перевод isida.py и main.py
Locale not found!	Локалізація не знайдена!
Territorial accessories mobile phone number. Warning Specify at least 7 of the first digits in order to avoid a large number of messages.	Територіальна належність номера мобільного телефону. Увага! Вказуйте не менш 7-ми перших цифр номера, щоб уникнути великої кількості повідомлень!


# disco.py
Total: %s	Усього: %s
"%s" not found	"%s" не знайдено
Total: %s%s	Усього: %s%s
I can't do it	Не виходить...
Please wait. Result you will be receive in private message approximately %s %s	Чекайте, результат ви отримаете в приват приблизно через %s %s
sec.	сек.
matches with nick "%s": %s	збігів з ніком "%s": %s
nick "%s" not found.	нік "%s" не знайден.
Total conferences: %s, available: %s	Усього конференцій: %s, доступне: %s
Service discovery.\ndisco server.tld - request information about server\ndisco conference.server.tld [body [size]] - find body string in conference list and show size results\ndisco room@conference.server.tld [body [size]] - find body string in disco room conference and show size results.	Обзор сервисів.\ndisco server.tld - запрос інформації про сервер\ndisco conference.server.tld [body [size]] - пошук рядка body в обзорі конференцій і показ size результатів\ndisco room@conference.server.tld [body [size]] - пошук рядка body в обзорі конференції room і показ size результатів
Find nick on conference server\nwhereis - find your nick on current conference server\nwhereis nick - find nick on current conference server\nwhereis nick [conference.]server.tld - find nick on server server.tld	Пошук ніка по серверу конференцій\nwhereis - пошук свого ніка по серверу, на якому знаходиться поточна конференція\nwhereis nick - пошук ніка по серверу, на якому знаходиться поточна конференція\nwhereis nick [conference.]server.tld - пошук ніка по серверу server.tld


# domain.py
Sites at Domain/IP address: %s\n	Сайти, розташовані на IP-адресі/домені: %s\n
Domain/IP address info:	Інформація о IP-адресі/домені:
No data!	Немає даних!
Domain/IP address whois info.	Показує інформацію whois домену/IP-адреси\ndomain_info IP|домен\ndomain_info sites IP|домен - показує сайти, що знаходяться на домені/IP-адресі


# drink.py
last	останній
Last	остання
lAst	останнє
first	перше
second	друге
third	трете
fourth	четверте
fifth	п'яте
sixth	шосте
seventh	сьоме
eighth	восьме
nineth	дев'яте
tenth	десяте
eleventh	одинадцяте
twelveth	дванадцяте
thirteenth	тринадцяте
fourteenth	чотирнадцяте
fivteenth	п'ятнадцяте
sixteenth	шістнядцяте
seventeenth	сімнадцяте
eighteenth	вісімнадцяте
nineteenth	дев'ятнадцяте
twentieth	двадцяте
twenty-first	двадцять перше
twenty-second	двадцять друге
twenty-third	двадцять трете
twenty-fourth	двадцять четверте
twenty-fifth	двадцять п'яте
twenty-sixth	двадцять шосте
twenty-seventh	двадцять сьоме
twenty-eighth	двадцять восьме
twenty-nineth	двадцять дев'яте
thirtieth	тридцяте
thirty-first	тридцять перше
january	січень
february	лютий
march	березень
april	квітень
may	травень
june червень
july	липень
august серпень
september	вересень
october	жовтень
november	листопад
december	грудень
January	січня
February	лютого
March	березня
April	квітня
May	травня
June червня
July	липня
August серпня
September	вересня
October	жовтня
November	листопада
December	грудня
Read file error.	Помилка читання файлу.
Holiday: %s not found.	Привід: %s не знайден.
I know holidays: %s	Я знаю приводи випити: %s
Database doesn't exist.	На жаль, база відсутня.
Find holiday\ndrink [name_holiday/date]	Пошук приводу випити ;)\ndrink [привід/дата]


# execute.py
I can't calculate it	Я не можу це порахувати
Expression unacceptable!	Неприпустимий вираз!
Execution of external code.	Виконання зовнішнього коду.
Calculator.	Калькулятор.


# gis.py
Night	Ніч
Morning	Ранок
Day	День
Evening	Вечір
rain	дощ
downpour	злива
snow	сніг
storm	гроза
no data	немає даних
no precipitation	без опадів
clear	ясно
cloudy	малохмарно
Cloudy	хмарно
overcast	похмуро
N	Пн
NE	ПнСх
E	Сх
SW	ПдЗх
S	Пд
SE	ПдСх
W	Зх
NW	ПнЗх
Weather in %s:\nDate\t t°\tWind\tClouds	Погода в місті %s:\nДата\t t°\tВітер\tХмарність
\tPressure, mm. Hg. Art.\tHumidity %	\tТиск, мм.рт.ст.\tВологість %
\tCalm	\tШтиль
Weather forecast (short). Courtesy Gismeteo.Ru | http://www.gismeteo.ru	Короткий прогноз погоди. Надано Gismeteo.Ru | http://www.gismeteo.ru
Weather forecast (full). Courtesy Gismeteo.Ru | http://www.gismeteo.ru	Повний прогноз погоди. Надано Gismeteo.Ru | http://www.gismeteo.ru


# google.py
wiki %s inurl:en.wikipedia.org/wiki	вікі %s inurl:ru.wikipedia.org/wiki
Expression "%s" not found!	Виразу "%s" не знайдено!
xep "%s" not found!	xep "%s" не знайден!
Albanian	албанська
English		англійська
Arabic	арабська
Afrikaans	африкаанс
Belarusian	білоруська
Bulgarian	болгарська
Welsh	валійська
Hungarian	угорська
Vietnamese	в'єтнамська
Galician	галісійська
Dutch	голландська
Greek	грецька
Danish	данська
Hebrew	іврит
Yiddish	ідиш
Indonesian	індонезійська
Irish	ірландська
Icelandic	ісландська
Spanish	іспанська
Italian	італійська
Catalan	каталанська
Chinese	китайська
Korean	корейська
Latvian	латиська
Lithuanian	литовська
Macedonian	македонська
Malay	малайська
Maltese	мальтійська
German	немецька
Norwegian	норвезька
Persian	персидська
Polish	польська
Portuguese	португальська
Romanian	румунська
Russian	російська
Serbian	сербська
Slovak	словацька
Slovenian	словенська
Swahili	суахілі
Tagalog	тагальстка
Thai	тайська
Turkish	турецька
Ukrainian	українська
Finnish	фінська
french	французька
Hindi	хінді
Croatian	хорватська
Czech	чеська
Swedish	шведська
Estonian	естонська
Japanese	японська
Available languages for translate: 	Доступні мови для перекладу: 
Available languages: %s	Відомі мови: %
I don't know this language	Я не знаю таких мов
Incorrect language settings for translate. tr list - available languages.	Неправильно вказана мова або немає тексту для переводу. tr list - доступні мови
Command's format: tr from to text	Формат команди: tr з_якої на_яку текст
Translator.\ntr from_language to_language text - translate text\ntr list - list for available languages for translate\ntr info <reduction> - get info about language reduction	Перекладач.\ntr з_якої_мови на_яку_мову текст - переклад тексту\ntr list - список мов для перекладу\ntr info <скорочення> - розшифровка скорочення мови
Search in google	Пошук через google
Search XEP	Пошук XEP
Search in en.wikipedia.org	Пошук по ru.wikipedia.org


# hideroom.py
This command available only in private!	Команда доступна лише в приваті!
Hidden conferences:	Я приховую конфи:
No hidden conferences.	Прихованих конференцій немає.
I am not in the %s	Мене немає в %s
I'm already hide a %s	Я вже приховую конфу %s
%s will be shown	%s буде показана
%s has been hidden	%s була прихована
Hide conference.\nhide [add|del|show] [room@conference.server.tld]	Приховати конференцію.\nhide [add|del|show][ room@conference.server.tld]


# horo.py
Message send to private	Відправлено до привату
List of dates:\n%s	Список дат:\n%s
aries	овен
taurus	телець
gemini	близнюки
cancer	рак
leo 	лев
virgo	діва
libra	терези
scorpio	скорпіон
sagittarius	стрілець
capricorn	козеріг
aquarius	водолій
pisces	риби
Aries %s	Овен %s
Taurus %s	Телець %s
Gemini %s	Близнюки %s
Cancer %s	Рак %s
Leo %s	Лев %s
Virgo %s	Діва %s
Libra %s	Терези %s
Scorpio %s	Скорпіон %s
Sagittarius %s	Стрілець %s
Capricorn %s	Козеріг %s
Aquarius %s	Водолій %s
Pisces %s	Риби %s
Horoscope.\nhoro list - show all zodiacs.\nhoro date - show dates for zodiacs. | Author: ferym	Показує гороскоп для вказаного знака зодіаку. Перегляд знаков зодіаку - "horo list". Перегляд списку дат - "horo date" | Автор: ferym


# idle.py
Your last activity was %s ago	Ваша остання активність була %s тому
%s's last ativity was %s ago	Остання активність %s була %s тому
message	повідомлення
presence	презенс
Idle time	Час з моменту останньої активності
I can't find %s	Не можу знайти %s


# inlist.py
Total banned: %s, 	Усього в бані: %s, 
found:\n	знайдено:\n
no matches!	збігів немає!
Total owners: %s, 	Усього власників: %s, 
Total admins: %s, 	Усього адміністраторів: %s, 
Total members: %s, 	Усього постійних учасників: %s, 
Search in outcats list of conference.	Пошук по outcast списку конференції.
Search in members list of conference.	Пошук по members списку конференції.
Search in admins list of conference.	Пошук по admins списку конференції.
Search in owners list of conference.	Пошук по owners списку конференції.


# invite.py
%s ishere!	%s знаходиться тут!
Invited	Покликала
I seen some peoples with this nick. Get more info!	Я бачила кілька людей з таким ніком. Укажіть точніше!
I don't know %s	Я не в курсі, хто такий %s
%s asks you to go to %s	%s просить вас зайти до %s
because %	з привіду %s
Invite to conference.\ninvite nick|jid\n[reason]	Запросити учасника в конференцію.\ninvite nick|jid\n[привід]


# iq.py
vCard tags:	Теги з візитки:
vCard:	Візитка:
vCard:\nNick: %s\nName: %s\nAbout: %s\nURL: %s	Візитка:\nНик: %s\nІм'я: %s\nПро себе: %s\nURL: %s
Timeout %s sec.	Вийшов час очікування - %s сек.
Uptime: %s	Аптайм: %s
Ping from you %s sec.	Пінг від тебе - %s сек.
Ping from %s %s sec.	Пінг від %s - %s сек.
Server statistic: %s | Total: %s | Online: %s	Статистика сервера: %s | Усего: %s | Онлайн: %s
Client version.	Версія клієнта.
Ping - reply time. You can ping nick in room, jid, server or transport.	Пінг - час відгуку. Можна пингувати нік в конференції, jid, сервер, транспорт.
Client side time.	Місцевий час клієнта.
Client side time + raw time format.	Місцевий час клієнта + час у форматі зі станзи.
Users server statistic.	Статистика користувачів сервера.
vCard query. Recomends make command base alias for query needs info.\nvcard_raw [nick] - query generic info\nvcard_raw nick\nshow - show available fields\nvcard_raw nick\n[field:name|field:name] - show requested fields from vcard.	Запрос vcard. Рекомендуется составить alias на базе команды для вывода нужных полей.\nvcard_raw [nick] - показ основной информации из vcard\nvcard_raw nick\nshow - показ доступних полей vcard\nvcard_raw nick\nполе:название|поле:название - показ запрошенных полей из vcard
Server or jid uptime.	Аптайм jabber-сервера або jid'а


#istrue.py
100% True-nick!	100% Ъ-нік!
Nicks without letters isn't true!	Ніки без літер не Ъ!
Valid of nick is - %s%s	Кошерність ніка %s%s 
Normal nick, but left symbols in fireplace.	Нормальний нік, а ліві символи фтопку!
Many caps - %s%s	Багато капсу - %s%s
Dominate letters: 	Переважають літери: 
Cyrillic	Кирилиця
Latin	Латиниця
Eually	Порівну
And?	Ну і?
Expression is true for %s%s	Ймовірність того, что вираз вірний - %s%s
Check truth of expession.	Перевірка виразу на правдивість.
Check different languages symbols in nick.	Перевірка ніка на використання літер з різних мов.


#jc.py
Show information about conference from jc.jabber.ru.\njc [address]	Показує інформацию про вказану конференцію з ресурсу jc.jabber.ru\njc [конфа]


# jidcatcher.py
What I must find?	Що ж будемо щукати?
Total resources: %s	Усього ресурсів: %s
Found resources: %s\n	Знайдено ресурсів: %s\n
Total servers: %s	Усього серверів: %s
Found servers: %s\n	Знайдено серверів: %s\n
Max count of members: %s %s	Максимальна кількість учасників: %s %s
Statistic not found!	Статистика не знайдена!
Without parameters show top10 resources for all conferences, where bot is present.\nwith parameters - search in resources base\ncount - number of results.	Без параметра показує топ10 ресурсів по всіх конференціях, де знаходиться бот.\nЗ параметром - пошук по базі ресурсів.\nЧисла - кількість ресурсів.
Wihtout parameters show all servers freom where joined in rooms, where bot is present\nwith parameters - search on servers base\ncount - show number of results.	Без параметра показує усі сервера, з яких заходили в конференції, де знаходиться бот.\nЗ параметром - пошук по базі серверів.\nЗ параметром count показує кількість унікальних серверів.\nЧисла - кількість серверів.
Search in internal jids base.	Пошук по внутрішній базі jid'ів.
Conference's activity.	Активність конференції.


# juick.py
Smoke help about command!	Куримо довідку за командою!
User %s not found	Користувач %s не знайден
Who?	Хто?
Message #%s not found	Пост #%s не знайден
(Replies: %s)	(Відповідей: %s)
(No replies)	(Немає відповідей)
Invalid message number	Невірний номер поста
What message do you want to find?	Який пост знайти?
Tag %s not found	Тег %s не знайден
Tag %s found in %s	Тег %s знайден у %s
What tag do you want to find?	Який тег знайти?
Miniblogs http://juick.com\njuick tag user <tag> [users count] - users, who use tags\njuick tag msg <tag> [messages_count_limit [message_lenght_limit]] - show messages with requsted tags\njuick msg <message_number> [count] - show message + count replies\njuick msg <message_number/reply_number> [count] - show message + reply\njuick user <username> [message_count_limit [message_lenght_limit]] - last user's messages\njuick info <username> - show user info	Мініблоги http://juick.com\njuick tag user <tag>[ кількість_користувачів] - користувачі, які використовують теги\njuick tag msg <tag>[ ліміт_повідомлень [ліміт_обсягу_повідомлень]] - повідомлення з заданими тегами\njuick msg <номер_поста>[ кількість] - пост+кількість відповідей\njuick msg <номер_поста/номер_відповіді> - пост+відповідь на пост\njuick user <user> [ліміт_повідомлень [ліміт_обсягу_повідомлень]] - останні повідомлення користувача\njuick info <user> - інформація про користувача


# karma.py
Your	тебе
